city_id,name,province_id,area(km²),population
1,Airdrie,1,84.57,43271
2,Beaumont,1,10.47,13284
3,Brooks,1,18.59,13676
4,Calgary,1,825.56,1096833
5,Camrose,1,42.62,17286
6,Chestermere,1,32.94,14824
7,Cold Lake,1,59.92,13839
8,Edmonton,1,685.25,812201
9,Fort Saskatchewan,1,48.18,19051
10,Grande Prairie,1,132.73,55655
11,Lacombe,1,20.81,11707
12,Leduc,1,42.44,24304
13,Lethbridge,1,122.09,83517
14,Lloydminster ,1,24.04,"18,032"
15,Medicine Hat,1,112.04,60005
16,Red Deer,1,104.73,90564
17,Spruce Grove,1,32.2,26171
18,St. Albert,1,48.45,61466
19,Wetaskiwin,1,18.31,12525
20,Abbotsford,2,375.55,141397
21,Armstrong,2,5.22,5114
22,Burnaby,2,90.61,232755
23,Campbell River,2,144.36,32588
24,Castlegar,2,19.67,8039
25,Chilliwack,2,261.65,83788
26,Colwood,2,17.67,16859
27,Coquitlam,2,122.30,139284
28,Courtenay,2,29.38,25599
29,Cranbrook,2,32.00,20047
30,Dawson Creek,2,24.37,12178
31,Delta,2,180.20,102238
32,Duncan,2,2.07,4944
33,Enderby,2,4.26,2964
34,Fernie,2,13.50,5249
35,Fort St. John,2,26.27,20155
36,Grand Forks,2,10.43,4049
37,Greenwood,2,2.42,665
38,Kamloops,2,299.25,90280
39,Kelowna,2,211.85,127380
40,Kimberley,2,60.62,7425
41,Langford,2,39.94,35342
42,Langley,2,10.22,25888
43,Maple Ridge,2,266.78,82256
44,Merritt,2,26.07,7139
45,Mission,2,227.65,38833
46,Nanaimo,2,90.76,90504
47,Nelson,2,11.95,10572
48,New Westminster,2,15.63,70996
49,North Vancouver,2,11.85,52898
50,Parksville,2,14.56,12514
51,Penticton,2,42.10,33761
52,Pitt Meadows,2,86.51,18573
53,Port Alberni,2,19.76,17678
54,Port Coquitlam,2,29.17,58612
55,Port Moody,2,25.89,33551
56,Powell River,2,28.91,13157
57,Prince George,2,318.26,74003
58,Prince Rupert,2,66.28,12220
59,Quesnel,2,35.39,9879
60,Revelstoke,2,41.13,7547
61,Richmond,2,129.27,198309
62,Rossland,2,59.79,3729
63,Salmon Arm,2,155.28,17706
64,Surrey,2,316.41,517887
65,Terrace,2,57.36,11643
66,Trail,2,34.93,7709
67,Vancouver[a],2,114.97,631486
68,Vernon,2,96.05,40116
69,Victoria[b],2,19.47,85792
70,West Kelowna,2,123.53,32655
71,White Rock,2,5.12,19952
72,Williams Lake,2,33.13,10753
