job_id,name,wages ($/hour)
1,Senior government managers and officials  (0012),55.0
2,"Senior managers - financial, communications and other business services  (0013)",63.46
3,"Senior managers - health, education, social and community services and membership organizations  (0014)",53.46
4,"Senior managers - trade, broadcasting and other services, n.e.c.  (0015)",56.37
5,"Senior managers - construction, transportation, production and utilities  (0016)",57.03
6,Financial managers  (0111),51.57
7,Human resources managers  (0112),46.15
8,Purchasing managers  (0113),59.13
9,Other administrative services managers  (0114),41.03
10,"Insurance, real estate and financial brokerage managers  (0121)",57.69
11,"Banking, credit and other investment managers  (0122)",50.0
12,"Advertising, marketing and public relations managers  (0124)",40.87
13,Other business services managers  (0125),43.59
14,Telecommunication carriers managers  (0131),43.59
15,Postal and courier services managers  (0132),35.44
16,Engineering managers  (0211),53.85
17,Architecture and science managers  (0212),49.32
18,Computer and information systems managers  (0213),52.66
19,Managers in health care  (0311),48.21
20,Government managers - health and social policy development and program administration  (0411),62.5
21,"Government managers - economic analysis, policy development and program administration  (0412)",58.88
22,Other managers in public administration  (0414),54.24
23,Administrators - post-secondary education and vocational training  (0421),55.46
24,School principals and administrators of elementary and secondary education  (0422),51.74
25,"Managers in social, community and correctional services  (0423)",35.9
26,Commissioned police officers  (0431),63.59
27,"Library, archive, museum and art gallery managers  (0511)",39.27
28,"Managers - publishing, motion pictures, broadcasting and performing arts  (0512)",33.33
29,"Recreation, sports and fitness program and service directors  (0513)",38.46
30,Corporate sales managers  (0601),52.5
31,Retail and wholesale trade managers  (0621),40.65
32,Restaurant and food service managers  (0631),19.23
33,Accommodation service managers  (0632),32.69
34,"Managers in customer and personal services, n.e.c.  (0651)",35.9
35,Construction managers  (0711),40.0
36,Home building and renovation managers  (0712),24.0
37,Facility operation and maintenance managers  (0714),36.06
38,Managers in transportation  (0731),38.53
39,Managers in horticulture  (0822),19.88
40,Manufacturing managers  (0911),43.59
41,Utilities managers  (0912),68.72
42,Financial auditors and accountants  (1111),36.06
43,Financial and investment analysts  (1112),35.9
44,"Securities agents, investment dealers and brokers  (1113)",41.21
45,Other financial officers  (1114),35.9
46,Human resources professionals  (1121),35.59
47,Professional occupations in business management consulting  (1122),41.03
48,"Professional occupations in advertising, marketing and public relations  (1123)",31.25
49,"Supervisors, general office and administrative support workers  (1211)",28.02
50,"Supervisors, finance and insurance office workers  (1212)",30.77
51,"Supervisors, library, correspondence and related information workers  (1213)",28.58
52,"Supervisors, mail and message distribution occupations  (1214)",25.0
53,"Supervisors, supply chain, tracking and scheduling co-ordination occupations  (1215)",27.0
54,Administrative officers  (1221),25.64
55,Executive assistants  (1222),30.29
56,Human resources and recruitment officers  (1223),27.47
57,Property administrators  (1224),24.04
58,Purchasing agents and officers  (1225),33.65
59,Conference and event planners  (1226),23.75
60,Court officers and justices of the peace  (1227),29.0
61,"Employment insurance, immigration, border services and revenue officers  (1228)",33.33
62,Administrative assistants  (1241),24.5
63,Legal administrative assistants  (1242),21.98
64,Medical administrative assistants  (1243),19.0
65,"Court reporters, medical transcriptionists and related occupations  (1251)",20.0
66,Health information management occupations  (1252),26.87
67,Records management technicians  (1253),30.0
68,Statistical officers and related research support occupations  (1254),28.04
69,Accounting technicians and bookkeepers  (1311),24.04
70,Insurance adjusters and claims examiners  (1312),30.77
71,Insurance underwriters  (1313),32.0
72,"Assessors, valuators and appraisers  (1314)",39.42
73,"Customs, ship and other brokers  (1315)",25.21
74,General office support workers  (1411),21.0
75,Receptionists  (1414),17.5
